video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
06_001,0,47,0,4,0.0851063829787234,0.0,0,4,0,43,0.0,0.0,0.0
06_002,0,47,0,15,0.3191489361702128,0.0,0,15,0,32,0.0,0.0,0.0
06_004,0,29,0,3,0.10344827586206896,0.0,0,3,0,26,0.0,0.0,0.0
06_005,0,45,0,17,0.37777777777777777,0.0,0,17,0,28,0.0,0.0,0.0
06_007,0,45,0,8,0.17777777777777778,0.0,0,8,0,37,0.0,0.0,0.0
06_008,0,70,0,12,0.17142857142857143,0.0,0,12,0,58,0.0,0.0,0.0
06_010,0,16,0,5,0.3125,0.0,0,5,0,11,0.0,0.0,0.0
06_012,0,38,0,19,0.5,0.0,0,19,0,19,0.0,0.0,0.0
06_013,0,52,0,7,0.1346153846153846,0.0,0,7,0,45,0.0,0.0,0.0
06_014,0,52,0,8,0.15384615384615385,0.0,0,8,0,44,0.0,0.0,0.0
06_0145,1,13,11,3,0.23076923076923078,0.8461538461538461,2,1,9,1,0.6666666666666666,0.18181818181818182,0.28571428571428575
06_0147,1,16,6,6,0.375,0.375,4,2,2,8,0.6666666666666666,0.6666666666666666,0.6666666666666666
06_0150,1,16,10,4,0.25,0.625,0,4,10,2,0.0,0.0,0.0
06_0155,1,16,7,3,0.1875,0.4375,3,0,4,9,1.0,0.42857142857142855,0.6
06_016,0,45,0,8,0.17777777777777778,0.0,0,8,0,37,0.0,0.0,0.0
06_019,0,45,0,3,0.06666666666666667,0.0,0,3,0,42,0.0,0.0,0.0
06_023,0,71,0,15,0.2112676056338028,0.0,0,15,0,56,0.0,0.0,0.0
06_024,0,35,0,6,0.17142857142857143,0.0,0,6,0,29,0.0,0.0,0.0
06_025,0,64,0,7,0.109375,0.0,0,7,0,57,0.0,0.0,0.0
06_027,0,47,0,4,0.0851063829787234,0.0,0,4,0,43,0.0,0.0,0.0
07_0005,1,25,5,4,0.16,0.2,4,0,1,20,1.0,0.8,0.888888888888889
07_0007,1,30,7,7,0.23333333333333334,0.23333333333333334,2,5,5,18,0.2857142857142857,0.2857142857142857,0.2857142857142857
07_0009,1,19,6,9,0.47368421052631576,0.3157894736842105,3,6,3,7,0.3333333333333333,0.5,0.4
07_001,0,40,0,9,0.225,0.0,0,9,0,31,0.0,0.0,0.0
07_003,0,31,0,5,0.16129032258064516,0.0,0,5,0,26,0.0,0.0,0.0
07_004,0,22,0,4,0.18181818181818182,0.0,0,4,0,18,0.0,0.0,0.0
07_0047,1,37,14,15,0.40540540540540543,0.3783783783783784,12,3,2,20,0.8,0.8571428571428571,0.8275862068965518
07_0049,1,30,8,9,0.3,0.26666666666666666,8,1,0,21,0.8888888888888888,1.0,0.9411764705882353
07_006,0,37,0,6,0.16216216216216217,0.0,0,6,0,31,0.0,0.0,0.0
07_007,0,12,0,3,0.25,0.0,0,3,0,9,0.0,0.0,0.0
08_003,0,48,0,17,0.3541666666666667,0.0,0,17,0,31,0.0,0.0,0.0
