video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
09_001,0,88,0,10,0.11363636363636363,0.0,0,10,0,78,0.0,0.0,0.0
09_004,0,73,0,11,0.1506849315068493,0.0,0,11,0,62,0.0,0.0,0.0
09_0057,1,22,7,7,0.3181818181818182,0.3181818181818182,5,2,2,13,0.7142857142857143,0.7142857142857143,0.7142857142857143
09_006,0,50,0,13,0.26,0.0,0,13,0,37,0.0,0.0,0.0
09_008,0,47,0,8,0.1702127659574468,0.0,0,8,0,39,0.0,0.0,0.0
09_009,0,62,0,7,0.11290322580645161,0.0,0,7,0,55,0.0,0.0,0.0
09_010,0,40,0,8,0.2,0.0,0,8,0,32,0.0,0.0,0.0
10_001,0,28,0,9,0.32142857142857145,0.0,0,9,0,19,0.0,0.0,0.0
10_002,0,54,0,7,0.12962962962962962,0.0,0,7,0,47,0.0,0.0,0.0
10_003,0,90,0,17,0.18888888888888888,0.0,0,17,0,73,0.0,0.0,0.0
10_0037,1,27,20,6,0.2222222222222222,0.7407407407407407,6,0,14,7,1.0,0.3,0.4615384615384615
10_006,0,45,0,7,0.15555555555555556,0.0,0,7,0,38,0.0,0.0,0.0
10_007,0,50,0,10,0.2,0.0,0,10,0,40,0.0,0.0,0.0
10_0074,1,37,35,13,0.35135135135135137,0.9459459459459459,13,0,22,2,1.0,0.37142857142857144,0.5416666666666666
10_0075,1,31,8,8,0.25806451612903225,0.25806451612903225,6,2,2,21,0.75,0.75,0.75
10_010,0,68,0,17,0.25,0.0,0,17,0,51,0.0,0.0,0.0
11_001,0,34,0,10,0.29411764705882354,0.0,0,10,0,24,0.0,0.0,0.0
11_002,0,84,0,14,0.16666666666666666,0.0,0,14,0,70,0.0,0.0,0.0
11_007,0,29,0,8,0.27586206896551724,0.0,0,8,0,21,0.0,0.0,0.0
11_008,0,39,0,5,0.1282051282051282,0.0,0,5,0,34,0.0,0.0,0.0
11_009,0,112,0,6,0.05357142857142857,0.0,0,6,0,106,0.0,0.0,0.0
